order_id,order_date,customer_id,product_id,quantity,unit_price,discount,total_amount,channel
O000057,2024-02-22,C0091,P0028,7,19.35,0.2,108.36,In-Store
O000058,2025-08-14,C0154,P0010,6,217.18,0,1303.08,Partner
O000059,2024-04-20,C0055,P0005,8,252.32,0,2018.56,In-Store
O000060,2024-10-12,C0143,P0012,2,253.71,0.2,405.94,Partner
O000061,2025-07-28,C0058,P0026,7,73.21,0.2,409.98,Partner
O000062,2025-11-04,C0158,P0022,1,391.51,0.1,352.36,Partner
O000063,2025-12-20,C0069,P0001,3,388.22,0,1164.66,In-Store
O000064,2024-05-26,C0087,P0012,1,253.71,0,253.71,Partner
O000065,2025-10-10,C0169,P0013,2,355.88,0,711.76,Online
O000066,2025-03-05,C0024,P0024,4,283.93,0.05,1078.93,In-Store
O000067,2024-11-28,C0088,P0006,6,163.81,0,982.86,Partner
O000068,2024-06-10,C0153,P0003,1,314.36,0,314.36,Partner
O000069,2025-03-29,C0013,P0022,2,391.51,0,783.02,Partner
O000070,2024-10-06,C0109,P0016,8,250.04,0.05,1900.3,Online
O000071,2025-03-16,C0194,P0017,2,100.03,0,200.06,Online
O000072,2025-11-14,C0073,P0022,8,391.51,0.1,2818.87,In-Store
O000073,2024-02-26,C0012,P0008,7,136.8,0.1,861.84,Online
O000074,2024-05-20,C0053,P0010,4,217.18,0.2,694.98,In-Store
O000075,2025-05-24,C0075,P0011,2,382.02,0,764.04,Partner
O000076,2025-06-29,C0111,P0006,3,163.81,0.05,466.86,Partner
O000077,2025-02-10,C0059,P0017,6,100.03,0,600.18,Partner
O000078,2024-03-20,C0011,P0014,1,199.28,0.05,189.32,In-Store
O000079,2025-10-17,C0148,P0014,7,199.28,0.15,1185.72,In-Store
O000080,2024-11-28,C0075,P0004,7,111.89,0,783.23,Online
O000081,2025-03-23,C0159,P0015,6,220.08,0,1320.48,Online
O000082,2024-03-21,C0063,P0014,7,199.28,0.1,1255.46,In-Store
O000083,2024-12-07,C0080,P0024,6,283.93,0,1703.58,Online
O000084,2025-06-06,C0020,P0017,2,100.03,0.1,180.05,Online
O000085,2025-10-22,C0199,P0012,6,253.71,0.15,1293.92,Online
O000086,2024-07-21,C0061,P0004,3,111.89,0,335.67,Online
O000087,2025-10-05,C0155,P0005,2,252.32,0,504.64,In-Store
O000088,2025-08-01,C0119,P0025,8,47.4,0.15,322.32,Partner
O000089,2025-10-04,C0163,P0020,6,97.17,0.2,466.42,In-Store
O000090,2025-03-28,C0039,P0015,2,220.08,0.05,418.15,Partner
O000091,2024-02-27,C0078,P0026,5,73.21,0.1,329.44,In-Store
O000092,2025-04-07,C0130,P0003,5,314.36,0.05,1493.21,Online
O000093,2025-10-22,C0015,P0012,5,253.71,0,1268.55,Online
O000094,2025-08-17,C0158,P0020,7,97.17,0.05,646.18,Partner
O000095,2025-08-08,C0190,P0029,1,135.15,0.05,128.39,Partner
O000096,2024-06-03,C0049,P0011,8,382.02,0.1,2750.54,Online
O000097,2024-03-27,C0116,P0004,6,111.89,0.15,570.64,Partner
O000098,2025-12-25,C0166,P0006,1,163.81,0,163.81,In-Store
O000099,2025-01-16,C0113,P0017,3,100.03,0,300.09,In-Store
O000100,2025-09-04,C0100,P0014,6,199.28,0.15,1016.33,Online
O000101,2024-12-03,C0162,P0021,6,43.43,0,260.58,Online
O000102,2024-09-15,C0143,P0022,7,391.51,0,2740.57,Partner
O000103,2024-03-24,C0169,P0030,3,30.0,0,90.0,Partner
O000104,2025-11-02,C0170,P0005,6,252.32,0,1513.92,Partner
O000105,2025-12-26,C0170,P0013,3,355.88,0.1,960.88,Online
O000106,2024-12-02,C0080,P0018,7,276.28,0.15,1643.87,Online
O000107,2025-11-17,C0172,P0023,2,306.06,0.15,520.3,In-Store
O000108,2024-11-12,C0131,P0012,1,253.71,0,253.71,Online
O000109,2024-08-19,C0055,P0011,8,382.02,0,3056.16,Online
O000110,2024-04-13,C0040,P0003,5,314.36,0.2,1257.44,Partner
O000111,2024-12-10,C0198,P0018,1,276.28,0.15,234.84,Partner
O000112,2024-06-15,C0034,P0020,7,97.17,0,680.19,Online
O000113,2025-03-24,C0178,P0025,3,47.4,0.15,120.87,Online
O000114,2025-09-17,C0106,P0012,4,253.71,0.05,964.1,In-Store
O000115,2025-06-30,C0193,P0024,8,283.93,0,2271.44,Online
O000116,2024-07-17,C0080,P0026,8,73.21,0.2,468.54,In-Store
O000117,2024-10-15,C0174,P0019,8,120.65,0.05,916.94,In-Store
O000118,2024-07-23,C0129,P0017,7,100.03,0,700.21,Partner
O000119,2025-10-18,C0036,P0028,5,19.35,0,96.75,In-Store
O000120,2025-06-12,C0096,P0018,2,276.28,0.15,469.68,Online
O000121,2025-04-05,C0073,P0003,3,314.36,0,943.08,Partner
O000122,2024-08-15,C0038,P0027,7,125.39,0,877.73,In-Store
O000123,2024-02-24,C0090,P0030,1,30.0,0.05,28.5,In-Store
O000124,2024-03-24,C0129,P0012,4,253.71,0.05,964.1,In-Store
O000125,2025-10-27,C0058,P0001,6,388.22,0,2329.32,In-Store
O000126,2025-04-28,C0038,P0005,1,252.32,0,252.32,Partner
O000127,2025-09-22,C0036,P0025,8,47.4,0.05,360.24,Online
O000128,2024-06-02,C0021,P0001,5,388.22,0,1941.1,Partner
O000129,2024-10-22,C0187,P0020,7,97.17,0,680.19,Online
O000130,2025-03-05,C0078,P0004,1,111.89,0,111.89,Partner
O000131,2025-05-26,C0160,P0015,2,220.08,0,440.16,Partner
O000132,2024-05-27,C0138,P0001,4,388.22,0.15,1319.95,In-Store
O000133,2025-08-07,C0110,P0001,6,388.22,0,2329.32,In-Store
O000134,2025-01-04,C0048,P0022,2,391.51,0.1,704.72,Online
O000135,2025-04-26,C0135,P0018,1,276.28,0.05,262.47,Online
O000136,2024-01-17,C0163,P0013,6,355.88,0,2135.28,In-Store
O000137,2025-11-03,C0018,P0012,4,253.71,0.15,862.61,Partner
O000138,2024-02-15,C0027,P0025,6,47.4,0,284.4,In-Store
O000139,2025-12-02,C0140,P0011,3,382.02,0.2,916.85,In-Store
O000140,2024-05-18,C0179,P0016,3,250.04,0.2,600.1,Online
O000141,2024-10-27,C0184,P0025,8,47.4,0,379.2,Online
O000142,2024-11-19,C0012,P0026,4,73.21,0,292.84,In-Store
O000143,2024-02-07,C0132,P0013,8,355.88,0,2847.04,Partner
O000144,2024-02-18,C0049,P0010,6,217.18,0.2,1042.46,Partner
O000145,2025-01-11,C0085,P0009,2,272.35,0.2,435.76,In-Store
O000146,2024-12-13,C0103,P0024,8,283.93,0.05,2157.87,Online
O000147,2025-06-15,C0128,P0023,8,306.06,0,2448.48,In-Store
O000148,2025-03-16,C0022,P0024,7,283.93,0,1987.51,Partner
O000149,2024-04-15,C0047,P0018,5,276.28,0,1381.4,Online
O000150,2025-04-01,C0084,P0022,5,391.51,0,1957.55,Partner
O000151,2025-03-30,C0184,P0014,3,199.28,0.15,508.16,In-Store
O000152,2025-03-21,C0115,P0002,6,37.33,0.1,201.58,In-Store
O000153,2025-11-18,C0164,P0026,1,73.21,0,73.21,Partner
O000154,2024-05-26,C0104,P0012,3,253.71,0,761.13,Partner
O000155,2024-05-09,C0174,P0026,8,73.21,0,585.68,Online
O000156,2025-01-27,C0061,P0025,6,47.4,0,284.4,Partner
O000157,2025-04-05,C0009,P0020,3,97.17,0.15,247.78,In-Store
O000158,2024-05-20,C0096,P0015,2,220.08,0.1,396.14,Partner
O000159,2024-10-12,C0094,P0013,6,355.88,0.15,1814.99,Online
O000160,2025-06-14,C0030,P0001,3,388.22,0.05,1106.43,In-Store
O000161,2024-09-23,C0144,P0004,5,111.89,0.2,447.56,Partner
O000162,2025-05-17,C0115,P0007,5,39.48,0.15,167.79,Online
O000163,2024-06-25,C0032,P0005,2,252.32,0.05,479.41,Partner
O000164,2024-12-21,C0114,P0003,6,314.36,0.15,1603.24,Partner
O000165,2024-06-10,C0017,P0018,5,276.28,0,1381.4,Partner
O000166,2025-01-05,C0182,P0030,3,30.0,0.2,72.0,Partner
O000167,2024-05-22,C0058,P0004,4,111.89,0.2,358.05,Online
O000168,2025-08-09,C0127,P0001,6,388.22,0.1,2096.39,In-Store
O000169,2024-03-29,C0120,P0026,3,73.21,0.1,197.67,Online
O000170,2025-02-24,C0080,P0013,8,355.88,0.1,2562.34,In-Store
O000171,2025-10-19,C0148,P0003,3,314.36,0,943.08,Online
O000172,2025-07-18,C0116,P0015,6,220.08,0,1320.48,Partner
O000173,2025-05-29,C0151,P0006,3,163.81,0.05,466.86,Online
O000174,2024-06-17,C0032,P0017,3,100.03,0,300.09,Online
O000175,2025-06-15,C0083,P0030,4,30.0,0,120.0,In-Store
O000176,2025-07-18,C0021,P0009,4,272.35,0.15,925.99,In-Store
O000177,2025-06-30,C0033,P0021,5,43.43,0.1,195.44,Online
O000178,2025-08-17,C0129,P0021,3,43.43,0.1,117.26,Online
O000179,2025-07-31,C0044,P0022,6,391.51,0.2,1879.25,Online
O000180,2025-08-13,C0008,P0003,1,314.36,0.15,267.21,In-Store
O000181,2025-10-16,C0167,P0007,7,39.48,0.1,248.72,Online
O000182,2024-11-05,C0128,P0029,5,135.15,0.15,574.39,In-Store
O000183,2025-04-09,C0063,P0026,7,73.21,0,512.47,Online
O000184,2025-03-01,C0177,P0002,3,37.33,0.05,106.39,In-Store
O000185,2024-05-27,C0119,P0007,6,39.48,0.1,213.19,In-Store
O000186,2024-05-13,C0184,P0011,6,382.02,0.05,2177.51,In-Store
O000187,2024-09-04,C0132,P0018,2,276.28,0,552.56,In-Store
O000188,2024-05-24,C0032,P0009,8,272.35,0,2178.8,Online
O000189,2025-09-22,C0013,P0010,7,217.18,0.2,1216.21,In-Store
O000190,2024-12-01,C0064,P0028,3,19.35,0.2,46.44,Partner
O000191,2024-06-12,C0185,P0011,4,382.02,0.2,1222.46,In-Store
O000192,2025-05-24,C0132,P0015,8,220.08,0,1760.64,Online
O000193,2024-08-08,C0024,P0013,8,355.88,0,2847.04,Partner
O000194,2025-05-21,C0091,P0002,1,37.33,0,37.33,Partner
O000195,2025-07-03,C0168,P0022,8,391.51,0,3132.08,Online
O000196,2025-01-09,C0028,P0014,3,199.28,0,597.84,In-Store
O000197,2025-08-06,C0094,P0002,7,37.33,0,261.31,Partner
O000198,2025-01-30,C0050,P0012,5,253.71,0,1268.55,Partner
O000199,2025-09-30,C0116,P0025,5,47.4,0.2,189.6,Partner
O000200,2025-02-07,C0157,P0004,3,111.89,0,335.67,In-Store
O000201,2024-05-27,C0087,P0018,6,276.28,0.2,1326.14,Online
O000202,2024-02-11,C0155,P0017,7,100.03,0.1,630.19,Online
O000203,2025-04-30,C0010,P0005,6,252.32,0.2,1211.14,Partner
O000204,2025-09-19,C0117,P0005,3,252.32,0,756.96,In-Store
O000205,2024-12-10,C0042,P0013,5,355.88,0.1,1601.46,Partner
O000206,2025-07-30,C0131,P0018,8,276.28,0.15,1878.7,In-Store
O000207,2024-12-05,C0122,P0027,1,125.39,0,125.39,Partner
O000208,2025-12-05,C0029,P0014,5,199.28,0.2,797.12,Partner
O000209,2025-11-02,C0007,P0020,8,97.17,0,777.36,Partner
O000210,2025-05-06,C0148,P0008,1,136.8,0.1,123.12,Online
O000211,2025-11-28,C0135,P0021,7,43.43,0,304.01,Online
O000212,2024-01-20,C0009,P0019,2,120.65,0,241.3,In-Store
O000213,2025-12-08,C0081,P0014,3,199.28,0.05,567.95,Online
O000214,2024-03-04,C0106,P0017,8,100.03,0.2,640.19,Partner
O000215,2024-11-28,C0036,P0017,4,100.03,0.1,360.11,Partner
O000216,2024-06-26,C0123,P0017,7,100.03,0,700.21,In-Store
O000217,2025-11-28,C0137,P0011,6,382.02,0.15,1948.3,Partner
O000218,2024-09-09,C0178,P0009,8,272.35,0,2178.8,In-Store
O000219,2024-10-22,C0143,P0010,4,217.18,0,868.72,Partner
O000220,2025-05-06,C0054,P0023,8,306.06,0,2448.48,In-Store
O000221,2024-05-04,C0144,P0030,5,30.0,0,150.0,Partner
O000222,2024-12-19,C0174,P0018,7,276.28,0.05,1837.26,Online
O000223,2024-03-21,C0075,P0002,5,37.33,0.15,158.65,In-Store
O000224,2025-05-05,C0114,P0021,5,43.43,0.15,184.58,Online
O000225,2025-12-13,C0052,P0027,5,125.39,0.1,564.26,In-Store
O000226,2024-02-21,C0036,P0004,4,111.89,0,447.56,Partner
O000227,2024-04-12,C0136,P0008,4,136.8,0,547.2,In-Store
O000228,2025-11-28,C0085,P0023,8,306.06,0,2448.48,Online
O000229,2025-10-30,C0002,P0018,3,276.28,0.05,787.4,In-Store
O000230,2024-10-21,C0123,P0021,4,43.43,0.2,138.98,In-Store
O000231,2024-04-01,C0074,P0021,1,43.43,0.2,34.74,Partner
O000232,2025-03-03,C0147,P0008,1,136.8,0,136.8,Online
O000233,2025-05-22,C0010,P0027,7,125.39,0.2,702.18,Online
O000234,2024-01-10,C0192,P0028,5,19.35,0,96.75,In-Store
O000235,2024-10-18,C0146,P0020,2,97.17,0,194.34,In-Store
O000236,2025-05-31,C0165,P0018,8,276.28,0,2210.24,In-Store
O000237,2024-06-15,C0070,P0007,2,39.48,0,78.96,Partner
O000238,2024-07-09,C0118,P0021,5,43.43,0.15,184.58,Online
O000239,2025-11-21,C0189,P0011,5,382.02,0.1,1719.09,Online
O000240,2025-03-13,C0045,P0020,7,97.17,0.2,544.15,Partner
O000241,2024-04-07,C0084,P0003,7,314.36,0.15,1870.44,Online
O000242,2024-01-07,C0036,P0016,6,250.04,0,1500.24,In-Store
O000243,2024-09-30,C0099,P0008,8,136.8,0.2,875.52,In-Store
O000244,2025-10-31,C0078,P0019,1,120.65,0,120.65,In-Store
O000245,2024-05-01,C0178,P0008,1,136.8,0.15,116.28,In-Store
O000246,2025-05-29,C0079,P0006,7,163.81,0.15,974.67,Partner
O000247,2024-10-29,C0198,P0010,2,217.18,0.15,369.21,In-Store
O000248,2025-05-04,C0158,P0008,4,136.8,0,547.2,Online
O000249,2025-12-19,C0117,P0024,6,283.93,0.05,1618.4,Partner
O000250,2024-09-10,C0121,P0025,4,47.4,0.2,151.68,Partner
O000251,2025-04-02,C0194,P0020,2,97.17,0.1,174.91,Partner
O000252,2024-04-24,C0181,P0012,2,253.71,0.1,456.68,Online
O000253,2025-07-03,C0141,P0029,4,135.15,0.1,486.54,Online
O000254,2025-11-27,C0043,P0011,8,382.02,0,3056.16,Online
O000255,2025-06-06,C0184,P0019,8,120.65,0,965.2,In-Store
O000256,2025-03-01,C0015,P0015,3,220.08,0.1,594.22,In-Store
O000257,2024-11-11,C0145,P0002,8,37.33,0.15,253.84,Partner
O000258,2024-01-04,C0006,P0013,5,355.88,0.2,1423.52,Partner
O000259,2025-03-09,C0056,P0019,2,120.65,0,241.3,In-Store
O000260,2025-04-28,C0180,P0003,1,314.36,0,314.36,Online
O000261,2024-05-18,C0074,P0014,3,199.28,0.2,478.27,Partner
O000262,2025-01-26,C0187,P0021,7,43.43,0,304.01,In-Store
O000263,2025-11-08,C0097,P0013,2,355.88,0.15,605.0,Partner
O000264,2024-07-01,C0035,P0021,6,43.43,0,260.58,Partner
O000265,2024-08-16,C0101,P0017,3,100.03,0.15,255.08,Online
O000266,2025-11-20,C0194,P0001,5,388.22,0.05,1844.05,Partner
O000267,2024-08-23,C0140,P0014,7,199.28,0.2,1115.97,Online
O000268,2024-07-12,C0118,P0012,3,253.71,0,761.13,Partner
O000269,2025-11-07,C0196,P0004,1,111.89,0.2,89.51,In-Store
O000270,2024-07-30,C0158,P0025,1,47.4,0,47.4,Online
O000271,2025-09-04,C0026,P0020,1,97.17,0.05,92.31,Partner
O000272,2024-02-15,C0181,P0028,1,19.35,0,19.35,In-Store
O000273,2024-02-27,C0113,P0008,4,136.8,0.2,437.76,Online
O000274,2025-08-12,C0129,P0010,4,217.18,0.2,694.98,In-Store
O000275,2024-11-05,C0148,P0020,6,97.17,0,583.02,Online
O000276,2024-11-03,C0170,P0017,4,100.03,0.05,380.11,In-Store
O000277,2025-11-26,C0016,P0018,3,276.28,0.15,704.51,In-Store
O000278,2025-10-20,C0143,P0016,1,250.04,0,250.04,Partner
O000279,2025-03-02,C0098,P0026,6,73.21,0.15,373.37,In-Store
O000280,2025-07-04,C0039,P0010,7,217.18,0,1520.26,In-Store
O000281,2025-12-25,C0062,P0028,4,19.35,0,77.4,Online
O000282,2025-02-26,C0119,P0030,1,30.0,0.1,27.0,In-Store
O000283,2024-09-05,C0143,P0017,3,100.03,0.05,285.09,In-Store
O000284,2025-01-14,C0053,P0011,2,382.02,0.05,725.84,Online
O000285,2024-10-01,C0138,P0024,4,283.93,0,1135.72,In-Store
O000286,2024-03-15,C0173,P0020,1,97.17,0.2,77.74,Online
O000287,2024-08-01,C0195,P0019,4,120.65,0.05,458.47,In-Store
O000288,2024-07-13,C0078,P0030,1,30.0,0,30.0,Partner
O000289,2025-12-13,C0031,P0024,8,283.93,0,2271.44,Partner
O000290,2025-07-19,C0181,P0007,7,39.48,0,276.36,In-Store
O000291,2025-06-30,C0199,P0010,7,217.18,0.05,1444.25,Partner
O000292,2025-06-09,C0092,P0010,5,217.18,0,1085.9,In-Store
O000293,2024-11-23,C0120,P0004,8,111.89,0.2,716.1,Online
O000294,2025-07-30,C0095,P0011,7,382.02,0,2674.14,Online
O000295,2025-07-20,C0190,P0005,1,252.32,0,252.32,Partner
O000296,2024-06-05,C0149,P0024,7,283.93,0,1987.51,Online
O000297,2024-09-08,C0085,P0008,7,136.8,0.1,861.84,In-Store
O000298,2025-05-15,C0141,P0021,6,43.43,0,260.58,Partner
O000299,2024-06-21,C0165,P0024,8,283.93,0.05,2157.87,Partner
O000300,2025-07-13,C0091,P0006,3,163.81,0.15,417.72,In-Store
O000301,2024-02-04,C0048,P0030,1,30.0,0.1,27.0,Online
O000302,2024-05-20,C0172,P0002,1,37.33,0.05,35.46,Partner
O000303,2024-08-11,C0060,P0003,3,314.36,0,943.08,Partner
O000304,2025-10-15,C0117,P0012,1,253.71,0.1,228.34,Partner
O000305,2025-05-14,C0158,P0030,8,30.0,0.15,204.0,Online
O000306,2024-01-18,C0002,P0018,7,276.28,0,1933.96,Partner
O000307,2025-05-29,C0185,P0009,5,272.35,0,1361.75,Partner
O000308,2024-04-08,C0173,P0014,3,199.28,0,597.84,Partner
O000309,2025-06-23,C0039,P0008,4,136.8,0.1,492.48,In-Store
O000310,2025-01-17,C0091,P0009,7,272.35,0,1906.45,In-Store
O000311,2024-08-19,C0118,P0019,4,120.65,0.15,410.21,In-Store
O000312,2025-10-27,C0176,P0027,2,125.39,0.15,213.16,Online
O000313,2025-07-19,C0024,P0013,7,355.88,0.05,2366.6,In-Store
O000314,2024-06-24,C0015,P0021,1,43.43,0.15,36.92,Online
O000315,2024-12-05,C0128,P0028,7,19.35,0.15,115.13,Partner
O000316,2024-08-04,C0025,P0029,1,135.15,0,135.15,Partner
O000317,2024-03-17,C0146,P0016,5,250.04,0,1250.2,Partner
O000318,2024-11-18,C0072,P0029,1,135.15,0,135.15,Online
O000319,2025-12-30,C0054,P0019,3,120.65,0.2,289.56,In-Store
O000320,2024-09-03,C0020,P0010,3,217.18,0.1,586.39,Partner
O000321,2024-05-23,C0100,P0022,6,391.51,0.05,2231.61,Partner
O000322,2024-04-10,C0186,P0003,6,314.36,0,1886.16,In-Store
O000323,2025-09-11,C0060,P0027,2,125.39,0,250.78,Partner
O000324,2025-10-11,C0153,P0013,6,355.88,0,2135.28,In-Store
O000325,2025-07-20,C0116,P0016,4,250.04,0,1000.16,In-Store
O000326,2025-09-25,C0111,P0006,7,163.81,0,1146.67,In-Store
O000327,2024-10-01,C0064,P0023,2,306.06,0,612.12,Online
O000328,2025-02-02,C0098,P0023,3,306.06,0.15,780.45,In-Store
O000329,2024-11-11,C0093,P0004,2,111.89,0,223.78,In-Store
O000330,2024-05-15,C0093,P0025,5,47.4,0,237.0,Online
O000331,2025-07-22,C0048,P0014,8,199.28,0.1,1434.82,Partner
O000332,2024-12-28,C0105,P0004,1,111.89,0,111.89,Partner
O000333,2025-01-29,C0024,P0020,6,97.17,0.2,466.42,Online
O000334,2024-03-27,C0075,P0014,7,199.28,0.2,1115.97,Partner
O000335,2025-06-17,C0144,P0029,4,135.15,0.1,486.54,Online
O000336,2024-10-02,C0176,P0013,3,355.88,0,1067.64,In-Store
O000337,2024-06-20,C0069,P0016,3,250.04,0,750.12,In-Store
O000338,2024-03-19,C0071,P0014,5,199.28,0.05,946.58,In-Store
O000339,2025-09-23,C0065,P0008,8,136.8,0.1,984.96,Online
O000340,2024-01-07,C0118,P0004,3,111.89,0,335.67,In-Store
O000341,2024-12-03,C0086,P0027,7,125.39,0.2,702.18,In-Store
O000342,2024-11-24,C0086,P0014,3,199.28,0,597.84,Partner
O000343,2024-06-30,C0178,P0007,8,39.48,0,315.84,In-Store
O000344,2024-09-05,C0082,P0010,8,217.18,0.1,1563.7,In-Store
O000345,2024-04-26,C0097,P0009,7,272.35,0,1906.45,Partner
O000346,2025-07-17,C0052,P0019,3,120.65,0.15,307.66,Online
O000347,2024-10-25,C0187,P0015,4,220.08,0.05,836.3,Partner
O000348,2025-05-26,C0018,P0027,7,125.39,0.15,746.07,Online
O000349,2025-11-05,C0163,P0010,4,217.18,0,868.72,Online
O000350,2025-04-04,C0184,P0014,7,199.28,0,1394.96,Partner
O000351,2025-06-02,C0123,P0019,7,120.65,0.1,760.1,Partner
O000352,2025-01-03,C0108,P0018,1,276.28,0.2,221.02,Partner
O000353,2024-09-11,C0138,P0020,2,97.17,0,194.34,Partner
O000354,2025-09-19,C0171,P0012,3,253.71,0.15,646.96,Online
O000355,2024-12-05,C0145,P0021,7,43.43,0.2,243.21,In-Store
O000356,2024-08-15,C0028,P0001,2,388.22,0,776.44,Partner
O000357,2025-01-18,C0192,P0017,4,100.03,0.05,380.11,In-Store
O000358,2024-01-26,C0119,P0025,3,47.4,0,142.2,In-Store
O000359,2024-04-28,C0027,P0010,7,217.18,0,1520.26,Partner
O000360,2025-04-11,C0037,P0012,5,253.71,0,1268.55,Online
O000361,2024-04-09,C0134,P0016,6,250.04,0.05,1425.23,In-Store
O000362,2024-03-09,C0185,P0023,8,306.06,0,2448.48,In-Store
O000363,2024-12-17,C0012,P0026,2,73.21,0,146.42,Partner
O000364,2024-09-06,C0028,P0022,3,391.51,0.15,998.35,Partner
O000365,2025-07-27,C0045,P0018,3,276.28,0,828.84,In-Store
O000366,2024-07-07,C0119,P0008,7,136.8,0.15,813.96,Online
O000367,2024-01-30,C0164,P0022,7,391.51,0.05,2603.54,Partner
O000368,2025-08-29,C0158,P0029,4,135.15,0.05,513.57,In-Store
O000369,2024-10-12,C0100,P0001,4,388.22,0,1552.88,Partner
O000370,2025-07-03,C0017,P0019,2,120.65,0.2,193.04,Online
O000371,2024-04-26,C0094,P0011,4,382.02,0.05,1451.68,In-Store
O000372,2025-10-16,C0172,P0028,8,19.35,0.1,139.32,In-Store
O000373,2024-04-26,C0153,P0013,7,355.88,0.1,2242.04,In-Store
O000374,2024-06-25,C0091,P0028,8,19.35,0.1,139.32,Partner
O000375,2025-08-27,C0181,P0026,5,73.21,0.1,329.44,Online
O000376,2024-09-01,C0173,P0005,6,252.32,0,1513.92,In-Store
O000377,2024-05-24,C0030,P0006,6,163.81,0.15,835.43,Partner
O000378,2025-01-27,C0100,P0014,3,199.28,0.1,538.06,In-Store
O000379,2024-06-19,C0048,P0016,3,250.04,0.1,675.11,In-Store
O000380,2025-04-06,C0074,P0005,3,252.32,0,756.96,Partner
O000381,2025-05-11,C0014,P0028,6,19.35,0,116.1,Online
